County,Solds,Ave List Price,Ave Sold Price,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number,Unnamed: 3
Spalding,64.0,"$290,689","$287,117",,,,,,,,,
Stephens,20.0,"$297,285","$292,355",,,,,,,,,
Stewart,0.0,$0,$0,,,,,,,,,
Sumter,3.0,"$60,433","$87,417",,,,,,,,,
Talbot,0.0,$0,$0,,,,,,,,,
Taliaferro,2.0,"$184,750","$161,500",,,,,,,,,
Talladega (AL),0.0,$0,$0,,,,,,,,,
Tattnall,9.0,"$316,556","$301,778",,,,,,,,,
Taylor,1.0,"$159,900","$162,400",,,,,,,,,
Telfair,4.0,"$126,750","$123,750",,,,,,,,,
Terrell,0.0,$0,$0,,,,,,,,,
Thomas,1.0,"$399,000","$408,000",,,,,,,,,
Tift,1.0,"$171,500","$175,500",,,,,,,,,
Tn Counties,0.0,$0,$0,,,,,,,,,
Toombs,5.0,"$240,560","$213,600",,,,,,,,,
Towns,8.0,"$445,825","$417,088",,,,,,,,,
Treutlen,0.0,$0,$0,,,,,,,,,
Troup,54.0,"$256,358","$255,616",,,,,,,,,
Turner,0.0,$0,$0,,,,,,,,,
Twiggs,0.0,$0,$0,,,,,,,,,
Union,17.0,"$568,594","$535,176",,,,,,,,,
Upson,16.0,"$192,691","$185,222",,,,,,,,,
Walker,10.0,"$261,410","$262,960",,,,,,,,,
Walton,88.0,"$444,156","$437,692",,,,,,,,,
Ware,5.0,"$205,160","$199,530",,,,,,,,,
Warren,0.0,$0,$0,,,,,,,,,
Washington,8.0,"$232,350","$224,362",,,,,,,,,
Wayne,6.0,"$272,133","$261,917",,,,,,,,,
Wheeler,2.0,"$88,450","$82,500",,,,,,,,,
White,23.0,"$361,083","$348,163",,,,,,,,,
Whitfield,3.0,"$170,500","$170,667",,,,,,,,,
Wilcox,0.0,$0,$0,,,,,,,,,
Wilkes,0.0,$0,$0,,,,,,,,,
Wilkinson,4.0,"$117,725","$104,725",,,,,,,,,
Worth,2.0,"$185,000","$172,500",,,,,,,,,
Al Counties,,"$382,290",,,,,,,,,15,
Appling,,"$304,118",,,,,,,,,28,
Bacon,,"$216,750",,,,,,,,,2,
Baldwin,,"$444,092",,,,,,,,,71,
Baldwin (AL),,"$550,000",,,,,,,,,1,
Banks,,"$568,479",,,,,,,,,54,
Barrow,,"$491,753",,,,,,,,,301,
Bartow,,"$491,208",,,,,,,,,262,
Ben Hill,,"$163,860",,,,,,,,,5,
Berrien,,"$60,000",,,,,,,,,1,
Bibb,,"$238,511",,,,,,,,,436,
Bleckley,,"$283,334",,,,,,,,,10,
Brantley,,"$335,414",,,,,,,,,7,
Brooks,,"$407,967",,,,,,,,,3,
Bryan,,"$867,706",,,,,,,,,36,
Bulloch,,"$415,552",,,,,,,,,119,
Burke,,"$182,113",,,,,,,,,8,
Butts,,"$433,967",,,,,,,,,85,
Calhoun,,"$250,000",,,,,,,,,1,
Calhoun (AL),,"$750,000",,,,,,,,,1,
Camden,,"$424,964",,,,,,,,,241,
Candler,,"$560,000",,,,,,,,,9,
Carroll,,"$440,521",,,,,,,,,298,
Catoosa,,"$387,006",,,,,,,,,16,
Chambers (AL),,"$240,971",,,,,,,,,43,
Charlton,,"$293,476",,,,,,,,,17,
Chatham,,"$540,196",,,,,,,,,77,
Chattahoochee,,"$478,193",,,,,,,,,6,
Chattooga,,"$391,908",,,,,,,,,39,
Cherokee,,"$704,140",,,,,,,,,571,
Cherokee (AL),,"$579,111",,,,,,,,,9,
Clarke,,"$529,119",,,,,,,,,165,
Clay,,"$436,000",,,,,,,,,4,
Clayton,,"$302,999",,,,,,,,,573,
Cleburne (AL),,"$327,300",,,,,,,,,15,
Clinch,,"$249,900",,,,,,,,,2,
Cobb,,"$631,722",,,,,,,,,903,
Coffee,,"$249,550",,,,,,,,,7,
Colquitt,,"$413,078",,,,,,,,,18,
Columbia,,"$348,325",,,,,,,,,24,
